Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00354966,8,"Friday, November 11, 2011 01:06:34 UTC",38.4123,-118.6982,1.3,7.00, 7,"Nevada"
nn,00354961,8,"Friday, November 11, 2011 00:58:02 UTC",38.4187,-118.7355,2.2,6.40,35,"Nevada"
nc,71679401,0,"Friday, November 11, 2011 00:37:11 UTC",38.7617,-122.7223,1.4,1.90,20,"Northern California"
nn,00354954,8,"Friday, November 11, 2011 00:30:34 UTC",39.6185,-119.4164,1.4,11.70,17,"Nevada"
nc,71679391,1,"Friday, November 11, 2011 00:07:43 UTC",38.8238,-122.8103,1.1,3.30,22,"Northern California"
uu,11102356,2,"Thursday, November 10, 2011 23:56:30 UTC",39.4223,-111.2320,1.6,7.20, 7,"Utah"
ci,15074516,2,"Thursday, November 10, 2011 23:42:56 UTC",33.9785,-116.8487,1.1,12.60,42,"Southern California"
ci,15074524,2,"Thursday, November 10, 2011 23:39:48 UTC",33.2358,-118.2935,1.7,7.00,18,"Gulf of Santa Catalina, California"
nm,111011c,A,"Thursday, November 10, 2011 23:29:24 UTC",35.8056,-90.1615,2.0,10.40,23,"Arkansas"
ci,15074508,2,"Thursday, November 10, 2011 23:24:02 UTC",33.4873,-116.4557,1.6,7.00,16,"Southern California"
ci,15074500,2,"Thursday, November 10, 2011 23:22:51 UTC",33.4717,-116.4505,2.1,10.40,88,"Southern California"
ak,10353609,1,"Thursday, November 10, 2011 23:04:08 UTC",60.4598,-150.9783,2.1,37.80,16,"Kenai Peninsula, Alaska"
nc,71679346,3,"Thursday, November 10, 2011 23:02:50 UTC",36.3442,-120.9157,2.2,6.40,54,"Central California"
nc,71679341,2,"Thursday, November 10, 2011 23:00:36 UTC",37.5367,-118.8792,1.0,7.30,29,"Central California"
ak,10353599,2,"Thursday, November 10, 2011 22:53:59 UTC",54.1583,-162.5270,3.1,10.00,12,"Alaska Peninsula"
ak,10353594,1,"Thursday, November 10, 2011 22:41:35 UTC",60.0275,-151.8471,1.7,30.30, 6,"Kenai Peninsula, Alaska"
ak,10353581,2,"Thursday, November 10, 2011 22:20:31 UTC",58.2798,-154.3067,2.1,78.70,13,"Alaska Peninsula"
nc,71679336,2,"Thursday, November 10, 2011 22:19:15 UTC",36.7278,-120.8268,1.3,8.30,12,"Central California"
us,c0006q65,3,"Thursday, November 10, 2011 22:17:34 UTC",11.7563,143.5432,5.0,26.90,49,"south of the Mariana Islands"
uw,11102156,1,"Thursday, November 10, 2011 21:56:30 UTC",47.4290,-122.7866,2.4,22.30,37,"Puget Sound region, Washington"
ak,10353561,1,"Thursday, November 10, 2011 21:34:20 UTC",63.2796,-151.1031,1.8,0.10,11,"Central Alaska"
nn,00354928,8,"Thursday, November 10, 2011 21:25:27 UTC",39.5684,-119.8072,1.1,8.50, 9,"Nevada"
nn,00354926,8,"Thursday, November 10, 2011 21:13:01 UTC",38.4203,-118.6745,1.4,7.70, 9,"Nevada"
pr,11314007,0,"Thursday, November 10, 2011 20:57:25 UTC",18.9069,-66.8229,2.2,8.60, 3,"Puerto Rico region"
ci,15074460,2,"Thursday, November 10, 2011 20:51:04 UTC",34.8532,-118.8035,1.2,7.00, 7,"Central California"
nn,00354918,8,"Thursday, November 10, 2011 20:25:06 UTC",38.4240,-118.7342,1.8,5.90,19,"Nevada"
nn,00354907,8,"Thursday, November 10, 2011 20:02:32 UTC",38.4111,-118.7551,1.9,2.60,11,"Nevada"
nn,00354903,8,"Thursday, November 10, 2011 19:50:28 UTC",38.3211,-118.8918,1.6,12.10,12,"Nevada"
ci,15074436,2,"Thursday, November 10, 2011 19:41:05 UTC",34.3343,-116.9342,1.5,7.00,21,"Southern California"
ci,15074428,2,"Thursday, November 10, 2011 19:28:13 UTC",33.7768,-116.1328,1.4,7.70,52,"Southern California"
nn,00354890,8,"Thursday, November 10, 2011 18:55:16 UTC",38.4168,-118.7497,1.9,4.60,18,"Nevada"
nc,71679241,2,"Thursday, November 10, 2011 18:34:17 UTC",38.8320,-122.7605,1.2,2.00,37,"Northern California"
pr,11314006,0,"Thursday, November 10, 2011 17:50:36 UTC",18.5601,-65.5850,3.3,93.00, 9,"Puerto Rico region"
ak,10352098,1,"Thursday, November 10, 2011 17:39:24 UTC",63.0678,-150.8535,3.2,122.80,58,"Central Alaska"
us,c0006pzk,9,"Thursday, November 10, 2011 17:25:40 UTC",38.4301,21.9060,5.2,6.90,227,"Greece"
ak,10352088,2,"Thursday, November 10, 2011 16:56:11 UTC",60.7059,-150.4406,1.3,45.80,10,"Kenai Peninsula, Alaska"
nc,71679296,2,"Thursday, November 10, 2011 16:51:43 UTC",40.9525,-121.8488,1.4,5.00,11,"Northern California"
nc,71679191,3,"Thursday, November 10, 2011 16:18:20 UTC",38.8138,-122.7952,1.1,3.20,40,"Northern California"
nc,71679176,3,"Thursday, November 10, 2011 16:03:32 UTC",38.7925,-122.8017,1.2,3.50,47,"Northern California"
ak,10352073,1,"Thursday, November 10, 2011 15:53:43 UTC",61.1709,-147.0886,1.9,0.00,13,"Southern Alaska"
uu,11101552,2,"Thursday, November 10, 2011 15:52:23 UTC",39.4227,-111.2262,1.3,5.70, 7,"Utah"
nc,71679171,3,"Thursday, November 10, 2011 15:39:34 UTC",38.7893,-122.7698,2.0,3.90,66,"Northern California"
ci,15074404,2,"Thursday, November 10, 2011 15:39:25 UTC",33.9637,-117.2325,1.3,13.00,50,"Greater Los Angeles area, California"
ci,15074396,2,"Thursday, November 10, 2011 15:28:36 UTC",34.0392,-117.2270,1.1,17.60,30,"Greater Los Angeles area, California"
hv,60231578,2,"Thursday, November 10, 2011 15:16:26 UTC",19.3278,-155.1330,2.2,8.20,25,"Island of Hawaii, Hawaii"
hv,60282626,2,"Thursday, November 10, 2011 15:16:19 UTC",19.3267,-155.1283,2.5,8.10,37,"Island of Hawaii, Hawaii"
ci,15074388,2,"Thursday, November 10, 2011 14:54:16 UTC",32.9130,-116.2202,1.2,7.20,38,"Southern California"
ak,10352060,1,"Thursday, November 10, 2011 14:46:48 UTC",60.5560,-148.5472,1.9,21.10,15,"Kenai Peninsula, Alaska"
hv,60282616,1,"Thursday, November 10, 2011 14:36:43 UTC",19.3655,-155.4975,1.9,10.30,41,"Island of Hawaii, Hawaii"
nc,71679161,3,"Thursday, November 10, 2011 14:16:12 UTC",37.4660,-118.8332,1.7,4.30,37,"Central California"
pr,11314003,0,"Thursday, November 10, 2011 13:18:52 UTC",19.1933,-64.3472,3.8,9.00,12,"Virgin Islands region"
hv,60282611,1,"Thursday, November 10, 2011 13:05:01 UTC",19.3647,-155.6002,1.7,13.20,31,"Island of Hawaii, Hawaii"
us,c0006pwq,6,"Thursday, November 10, 2011 12:49:57 UTC",13.6878,-90.6596,4.5,58.10,116,"offshore Guatemala"
pr,11314004,0,"Thursday, November 10, 2011 12:38:54 UTC",19.1340,-64.2149,2.8,42.00, 4,"Virgin Islands region"
nc,71679141,3,"Thursday, November 10, 2011 12:38:48 UTC",38.7923,-122.8063,1.9,3.70,64,"Northern California"
ci,15074356,2,"Thursday, November 10, 2011 12:27:43 UTC",33.3898,-116.3722,1.1,4.60,33,"Southern California"
nc,71679126,3,"Thursday, November 10, 2011 12:21:25 UTC",38.7922,-122.8067,1.2,3.80,48,"Northern California"
pr,11314005,0,"Thursday, November 10, 2011 12:12:30 UTC",18.0956,-67.0859,1.2,13.50, 3,"Puerto Rico"
pr,11314002,0,"Thursday, November 10, 2011 12:11:58 UTC",18.9773,-64.1080,3.3,56.00, 9,"Virgin Islands region"
pr,11314001,0,"Thursday, November 10, 2011 12:10:59 UTC",19.1240,-64.3440,3.0,10.80,10,"Virgin Islands region"
nc,71679121,2,"Thursday, November 10, 2011 12:10:43 UTC",35.8543,-120.3943,1.1,4.80,42,"Central California"
pr,11314000,0,"Thursday, November 10, 2011 12:09:31 UTC",18.9060,-64.0149,2.2,61.00, 3,"Virgin Islands region"
ak,10352032,1,"Thursday, November 10, 2011 12:09:09 UTC",60.8289,-150.2199,2.3,40.10,30,"Kenai Peninsula, Alaska"
nc,71679111,3,"Thursday, November 10, 2011 12:07:48 UTC",35.8490,-120.3992,2.4,5.60,87,"Central California"
nc,71679116,2,"Thursday, November 10, 2011 12:07:20 UTC",37.9060,-121.8013,1.3,16.80,15,"San Francisco Bay area, California"
nc,71679096,3,"Thursday, November 10, 2011 11:47:44 UTC",38.7713,-122.7257,2.0,2.00,67,"Northern California"
nc,71679086,3,"Thursday, November 10, 2011 11:05:55 UTC",36.2142,-120.3478,2.4,9.30,73,"Central California"
nc,71679081,3,"Thursday, November 10, 2011 11:01:09 UTC",38.8123,-122.7950,1.3,3.40,47,"Northern California"
nc,71679071,2,"Thursday, November 10, 2011 10:46:30 UTC",38.8100,-122.7898,1.0,3.80,45,"Northern California"
nc,71679061,2,"Thursday, November 10, 2011 10:37:59 UTC",38.8197,-122.8148,1.0,3.00,31,"Northern California"
ak,10352013,1,"Thursday, November 10, 2011 10:18:05 UTC",59.5645,-152.9966,2.1,80.80,13,"Southern Alaska"
ci,15074332,2,"Thursday, November 10, 2011 09:48:25 UTC",33.0510,-116.4528,1.5,5.60,88,"Southern California"
ak,10352010,1,"Thursday, November 10, 2011 09:42:03 UTC",60.5586,-147.6632,1.4,17.90, 6,"Southern Alaska"
nc,71679041,4,"Thursday, November 10, 2011 09:41:22 UTC",37.3868,-118.8997,1.0,3.70,13,"Central California"
ci,15074324,2,"Thursday, November 10, 2011 09:39:45 UTC",33.3295,-116.3865,1.7,13.00,88,"Southern California"
ak,10352002,1,"Thursday, November 10, 2011 09:34:58 UTC",63.1416,-149.1449,1.9,79.40,24,"Central Alaska"
uu,11100933,2,"Thursday, November 10, 2011 09:33:09 UTC",41.9847,-111.8073,1.2,7.50, 8,"Utah"
ak,10351998,1,"Thursday, November 10, 2011 09:15:05 UTC",60.5503,-152.2202,1.6,19.70,11,"Southern Alaska"
nc,71679026,0,"Thursday, November 10, 2011 09:01:57 UTC",38.8227,-122.8278,1.0,1.10,13,"Northern California"
ak,10351992,1,"Thursday, November 10, 2011 08:51:42 UTC",62.7368,-149.4799,1.6,85.60,11,"Central Alaska"
us,c0006pty,6,"Thursday, November 10, 2011 08:36:38 UTC",35.5054,-96.8343,3.2,4.90,36,"Oklahoma"
ci,15074308,2,"Thursday, November 10, 2011 08:29:03 UTC",33.8317,-116.9695,1.1,12.70,53,"Southern California"
us,c0006pte,6,"Thursday, November 10, 2011 07:51:26 UTC",-21.3091,169.8687,5.0,99.20,105,"southeast of the Loyalty Islands"
ak,10351987,1,"Thursday, November 10, 2011 07:44:44 UTC",63.2397,-151.3434,1.8,0.00, 8,"Central Alaska"
ak,10351983,1,"Thursday, November 10, 2011 07:33:10 UTC",58.5143,-154.3088,2.9,0.10,21,"Alaska Peninsula"
mb,11205055,2,"Thursday, November 10, 2011 07:30:31 UTC",44.6308,-114.3966,1.7,20.00,13,"southern Idaho"
ak,10351979,1,"Thursday, November 10, 2011 07:28:36 UTC",58.5088,-154.3069,3.3,0.00,23,"Alaska Peninsula"
uu,11100724,2,"Thursday, November 10, 2011 07:24:44 UTC",39.6372,-110.3938,1.6,1.80, 7,"Utah"
uu,11100719,2,"Thursday, November 10, 2011 07:19:54 UTC",39.4363,-111.2305,1.7,2.90, 8,"Utah"
hv,60282576,1,"Thursday, November 10, 2011 07:19:17 UTC",20.0335,-155.8533,1.9,26.40,30,"Hawaii region, Hawaii"
hv,60282571,1,"Thursday, November 10, 2011 07:03:20 UTC",19.3625,-155.5987,3.3,13.00,52,"Island of Hawaii, Hawaii"
ci,15074292,2,"Thursday, November 10, 2011 06:47:07 UTC",32.5687,-115.7070,2.1,10.00,34,"Baja California, Mexico"
se,111011a,C,"Thursday, November 10, 2011 06:34:42 UTC",35.6651,-84.1653,2.4,12.40,17,"eastern Tennessee"
ak,10351971,1,"Thursday, November 10, 2011 05:37:01 UTC",63.5260,-150.8988,1.3,12.10, 7,"Central Alaska"
ak,10351965,1,"Thursday, November 10, 2011 05:09:34 UTC",61.1667,-146.8593,1.8,11.80, 7,"Southern Alaska"
nn,00354847,8,"Thursday, November 10, 2011 04:40:44 UTC",40.2953,-119.7342,1.0,12.20,11,"Nevada"
nc,71678911,2,"Thursday, November 10, 2011 04:38:42 UTC",38.1870,-119.1457,1.8,8.90,14,"Central California"
uu,00008427,6,"Thursday, November 10, 2011 04:27:45 UTC",39.3008,-111.1522,3.9,5.90,31,"Utah"
ak,10351950,2,"Thursday, November 10, 2011 04:21:50 UTC",63.9362,-148.9620,2.2,1.00,19,"Central Alaska"
ak,10351944,1,"Thursday, November 10, 2011 03:43:05 UTC",65.0631,-148.6314,1.3,18.30, 8,"northern Alaska"
ak,10351943,2,"Thursday, November 10, 2011 03:26:57 UTC",61.6529,-146.5166,1.0,11.00, 7,"Southern Alaska"
ak,10351939,1,"Thursday, November 10, 2011 02:58:16 UTC",63.0865,-150.5412,1.8,111.80,16,"Central Alaska"
nc,71678856,3,"Thursday, November 10, 2011 02:39:38 UTC",38.7730,-122.7377,1.6,1.90,42,"Northern California"
us,c0006prh,5,"Thursday, November 10, 2011 02:34:53 UTC",-1.5620,138.3980,5.3,30.40,54,"near the north coast of Papua, Indonesia"
uu,11100155,2,"Thursday, November 10, 2011 01:55:46 UTC",39.4217,-111.2283,1.6,7.00, 7,"Utah"
ak,10351916,1,"Thursday, November 10, 2011 01:52:16 UTC",59.7320,-152.3323,1.9,0.00, 7,"Southern Alaska"
ak,10351909,1,"Thursday, November 10, 2011 01:47:33 UTC",60.5821,-152.2431,2.2,94.50,21,"Southern Alaska"
ak,10351902,1,"Thursday, November 10, 2011 01:37:42 UTC",60.2172,-143.4003,1.5,35.30,10,"Southern Alaska"
nc,71678826,2,"Thursday, November 10, 2011 00:46:28 UTC",37.4630,-118.8122,1.2,7.40,32,"Central California"
uu,11100032,2,"Thursday, November 10, 2011 00:32:49 UTC",44.6872,-110.4350,1.8,3.90, 6,"Yellowstone National Park, Wyoming"
nc,71678816,2,"Thursday, November 10, 2011 00:30:51 UTC",38.8310,-122.8087,1.0,1.50,32,"Northern California"
ci,15074236,2,"Thursday, November 10, 2011 00:27:47 UTC",35.0337,-117.6703,1.3,7.00,13,"Southern California"
nc,71678796,2,"Wednesday, November  9, 2011 23:30:02 UTC",40.3290,-122.3062,1.8,36.30,15,"Northern California"
ak,10351703,1,"Wednesday, November  9, 2011 22:51:49 UTC",60.2063,-152.2888,1.7,60.00, 7,"Southern Alaska"
us,c0006pn4,5,"Wednesday, November  9, 2011 22:38:20 UTC",38.2432,43.1913,4.5,10.10,41,"eastern Turkey"
ci,15074204,4,"Wednesday, November  9, 2011 22:15:47 UTC",33.8517,-117.5012,1.4,7.00,11,"Greater Los Angeles area, California"
ak,10351661,1,"Wednesday, November  9, 2011 22:01:27 UTC",59.2951,-151.8586,2.1,12.00, 9,"Kenai Peninsula, Alaska"
us,c0006pmc,6,"Wednesday, November  9, 2011 22:01:04 UTC",52.4769,159.8341,5.1,51.30,258,"off the east coast of the Kamchatka Peninsula, Russia"
us,c0006plu,8,"Wednesday, November  9, 2011 21:52:20 UTC",10.5756,146.1739,5.7,9.90,207,"south of the Mariana Islands"
nc,71678741,3,"Wednesday, November  9, 2011 21:47:16 UTC",38.8350,-122.7748,2.0,2.70,65,"Northern California"
ak,10351656,2,"Wednesday, November  9, 2011 21:47:15 UTC",62.1649,-150.7313,1.7,50.90,19,"Central Alaska"
ci,15074188,4,"Wednesday, November  9, 2011 21:39:26 UTC",32.2035,-115.2620,1.8,10.00,11,"Baja California, Mexico"
ak,10351644,1,"Wednesday, November  9, 2011 21:35:50 UTC",61.4568,-149.7399,2.1,29.80,18,"Southern Alaska"
nc,71678726,3,"Wednesday, November  9, 2011 21:21:59 UTC",38.8212,-122.8125,1.2,3.70,65,"Northern California"
ci,15074172,2,"Wednesday, November  9, 2011 21:12:37 UTC",33.9833,-117.2098,1.8,17.80,91,"Greater Los Angeles area, California"
us,c0006pkp,5,"Wednesday, November  9, 2011 21:07:35 UTC",-27.0990,-176.7343,4.8,56.10,38,"Kermadec Islands region"
ci,15074164,4,"Wednesday, November  9, 2011 21:00:19 UTC",36.1042,-117.9035,1.1,4.50,27,"Central California"
nc,71678731,2,"Wednesday, November  9, 2011 20:41:19 UTC",37.6260,-119.3588,1.0,4.60,10,"Central California"
ak,10351612,1,"Wednesday, November  9, 2011 20:25:11 UTC",60.9951,-152.2693,1.0,94.70, 9,"Southern Alaska"
ci,15074156,2,"Wednesday, November  9, 2011 20:22:40 UTC",31.8347,-114.7032,3.4,10.00, 8,"Sonora, Mexico"
pr,11313001,0,"Wednesday, November  9, 2011 20:18:56 UTC",19.3670,-64.2630,3.8,123.70,10,"Virgin Islands region"
nc,71678651,4,"Wednesday, November  9, 2011 19:56:33 UTC",37.9813,-122.4657,1.1,0.00, 8,"San Francisco Bay, California"
nc,71678641,4,"Wednesday, November  9, 2011 19:54:26 UTC",35.4842,-120.5985,1.5,0.00,58,"Central California"
nc,71678636,6,"Wednesday, November  9, 2011 19:46:13 UTC",37.9193,-120.5133,1.2,0.00, 5,"Central California"
ak,10351583,1,"Wednesday, November  9, 2011 19:39:43 UTC",63.2528,-150.6534,1.9,136.40,17,"Central Alaska"
us,b0006mkw,6,"Wednesday, November  9, 2011 19:23:33 UTC",38.4288,43.2290,5.6,5.00, 0,"eastern Turkey"
pr,11313002,0,"Wednesday, November  9, 2011 19:08:18 UTC",18.1280,-67.2809,1.9,22.40, 4,"Mona Passage, Puerto Rico"
nc,71678576,2,"Wednesday, November  9, 2011 18:28:36 UTC",39.0235,-123.0587,1.1,3.30,15,"Northern California"
nc,71678571,3,"Wednesday, November  9, 2011 18:23:02 UTC",38.8085,-122.8005,2.0,2.60,59,"Northern California"
us,b0006mjs,7,"Wednesday, November  9, 2011 18:22:59 UTC",-4.6164,-77.4821,4.9,43.30,142,"northern Peru"
uu,11091709,2,"Wednesday, November  9, 2011 17:09:24 UTC",39.4158,-111.2218,1.5,8.30, 7,"Utah"
ak,10351404,1,"Wednesday, November  9, 2011 17:03:43 UTC",62.7861,-149.5371,1.6,76.80, 7,"Central Alaska"
se,110911b,B,"Wednesday, November  9, 2011 16:44:34 UTC",34.7726,-84.9820,2.7,5.20,19,"Georgia, USA"
nc,71678496,3,"Wednesday, November  9, 2011 16:37:16 UTC",40.5170,-124.3825,1.6,17.40, 9,"offshore Northern California"
nc,71678491,3,"Wednesday, November  9, 2011 16:34:03 UTC",38.8218,-122.7883,1.6,2.40,66,"Northern California"
uu,11091618,2,"Wednesday, November  9, 2011 16:18:46 UTC",39.4397,-111.2345,1.4,2.50, 8,"Utah"
nc,71678481,3,"Wednesday, November  9, 2011 16:17:22 UTC",37.3772,-119.0343,2.1,9.80,38,"Central California"
ci,15074076,4,"Wednesday, November  9, 2011 15:35:30 UTC",33.4925,-116.4922,2.0,12.90,67,"Southern California"
ci,15074068,2,"Wednesday, November  9, 2011 15:35:03 UTC",33.4882,-116.5000,2.1,12.30,91,"Southern California"
uu,11091534,2,"Wednesday, November  9, 2011 15:34:59 UTC",39.6418,-110.3912,1.6,1.90,10,"Utah"
ak,10351384,1,"Wednesday, November  9, 2011 15:33:51 UTC",64.8937,-147.2458,1.9,6.20,12,"Central Alaska"
nc,71678421,2,"Wednesday, November  9, 2011 14:53:13 UTC",37.5728,-118.8190,1.3,7.00,26,"Central California"
ci,15074044,2,"Wednesday, November  9, 2011 14:26:26 UTC",33.1563,-115.6422,1.3,2.70,22,"Southern California"
ak,10351371,1,"Wednesday, November  9, 2011 14:18:55 UTC",60.3054,-150.9635,2.1,47.60,17,"Kenai Peninsula, Alaska"
us,b0006mfb,A,"Wednesday, November  9, 2011 13:49:21 UTC",-19.1469,-174.0675,4.7,10.00,29,"Tonga"
uu,11091349,2,"Wednesday, November  9, 2011 13:49:09 UTC",40.4628,-111.9613,1.3,0.20, 9,"Wasatch Front Urban Corridor, Utah"
ak,10351362,1,"Wednesday, November  9, 2011 13:47:40 UTC",62.5420,-151.0220,2.6,89.40,36,"Central Alaska"
nc,71678371,5,"Wednesday, November  9, 2011 13:45:02 UTC",37.4538,-118.8392,1.4,5.70,39,"Central California"
ak,10351357,1,"Wednesday, November  9, 2011 13:21:53 UTC",60.0357,-150.8549,1.9,45.40, 6,"Kenai Peninsula, Alaska"
ak,10351351,1,"Wednesday, November  9, 2011 13:11:09 UTC",58.4818,-154.4656,3.5,9.90,37,"Alaska Peninsula"
nm,110911a,A,"Wednesday, November  9, 2011 12:35:48 UTC",36.1106,-89.3903,2.5,7.70,20,"Tennessee"
ak,10351345,1,"Wednesday, November  9, 2011 12:10:17 UTC",62.8884,-148.1075,1.9,73.10,14,"Central Alaska"
us,b0006med,5,"Wednesday, November  9, 2011 12:08:36 UTC",35.5308,-96.7702,3.0,4.90,17,"Oklahoma"
nc,71678336,5,"Wednesday, November  9, 2011 11:55:02 UTC",38.8067,-122.7972,1.9,4.00,81,"Northern California"
ak,10351340,2,"Wednesday, November  9, 2011 11:39:09 UTC",56.6509,-154.5323,2.9,41.40,18,"Kodiak Island region, Alaska"
us,b0006me4,5,"Wednesday, November  9, 2011 11:23:26 UTC",-6.8313,126.8556,4.8,440.20,35,"Banda Sea"
ci,37011479,2,"Wednesday, November  9, 2011 11:07:03 UTC",36.0220,-117.5233,1.0,3.70,16,"Central California"
ci,15073996,4,"Wednesday, November  9, 2011 11:06:29 UTC",36.0272,-117.5222,1.1,4.40,26,"Central California"
ci,15073988,2,"Wednesday, November  9, 2011 11:02:02 UTC",33.6748,-116.7638,1.3,20.00,84,"Southern California"
nc,71678311,3,"Wednesday, November  9, 2011 10:45:10 UTC",38.8267,-122.7967,1.3,3.30,72,"Northern California"
nc,71678296,2,"Wednesday, November  9, 2011 10:02:24 UTC",38.7633,-122.7438,1.0,2.30,47,"Northern California"
ak,10351321,1,"Wednesday, November  9, 2011 09:55:38 UTC",60.1770,-147.2481,2.8,0.10,32,"Southern Alaska"
ci,15073972,2,"Wednesday, November  9, 2011 09:51:19 UTC",35.0227,-116.9625,1.6,3.70,48,"Southern California"
ak,10351318,1,"Wednesday, November  9, 2011 09:25:15 UTC",62.2475,-149.2458,2.2,38.20, 9,"Central Alaska"
uu,11090919,2,"Wednesday, November  9, 2011 09:18:45 UTC",39.4428,-111.2167,1.5,8.70, 5,"Utah"
us,b0006md2,7,"Wednesday, November  9, 2011 09:07:35 UTC",-3.5691,149.6041,4.9,34.70,57,"Bismarck Sea"
nc,71678281,3,"Wednesday, November  9, 2011 08:30:41 UTC",35.6182,-120.8855,1.1,7.90,29,"Central California"
ak,10351309,1,"Wednesday, November  9, 2011 08:22:30 UTC",60.2986,-141.8767,1.7,7.50,12,"Southern Alaska"
ak,10351307,1,"Wednesday, November  9, 2011 08:01:49 UTC",61.1498,-150.1625,1.4,44.10, 8,"Southern Alaska"
ak,10351305,1,"Wednesday, November  9, 2011 07:59:31 UTC",63.1467,-150.5030,1.7,117.60, 8,"Central Alaska"
nc,71678261,2,"Wednesday, November  9, 2011 07:35:14 UTC",38.8377,-122.8285,1.0,2.10,42,"Northern California"
uu,11090733,2,"Wednesday, November  9, 2011 07:33:59 UTC",39.4405,-111.2332,1.4,2.70, 7,"Utah"
ak,10351298,1,"Wednesday, November  9, 2011 07:13:24 UTC",62.0727,-151.1727,1.7,79.30, 7,"Central Alaska"
uu,11090705,2,"Wednesday, November  9, 2011 07:05:04 UTC",39.4397,-111.2313,1.5,2.50, 7,"Utah"
nc,71678246,4,"Wednesday, November  9, 2011 06:56:57 UTC",36.3898,-125.7567,4.0,5.00,46,"off the coast of California"
ak,10351289,1,"Wednesday, November  9, 2011 06:42:49 UTC",61.2231,-149.8963,2.6,2.90,29,"Southern Alaska"
nn,00354699,8,"Wednesday, November  9, 2011 06:40:23 UTC",39.2971,-115.7464,4.0,0.00, 6,"Nevada"
uu,11090627,2,"Wednesday, November  9, 2011 06:26:35 UTC",39.4392,-111.2290,1.4,2.60, 8,"Utah"
nc,71678221,3,"Wednesday, November  9, 2011 06:15:29 UTC",38.8173,-122.7882,1.6,2.60,55,"Northern California"
ak,10351286,1,"Wednesday, November  9, 2011 06:15:24 UTC",61.1664,-151.7312,1.5,80.50, 5,"Southern Alaska"
pr,11313000,0,"Wednesday, November  9, 2011 06:15:08 UTC",18.3719,-67.2929,3.0,116.30, 3,"Mona Passage, Puerto Rico"
ci,15073916,2,"Wednesday, November  9, 2011 06:02:22 UTC",35.9893,-117.9123,1.1,7.30,19,"Central California"
ci,15073908,4,"Wednesday, November  9, 2011 05:53:02 UTC",35.9720,-117.9097,1.0,5.20,21,"Central California"
ak,10351278,1,"Wednesday, November  9, 2011 05:51:50 UTC",60.7083,-147.8542,2.2,25.20,16,"Southern Alaska"
uu,11090534,2,"Wednesday, November  9, 2011 05:33:05 UTC",39.4398,-111.2310,1.3,1.60, 8,"Utah"
nc,71678196,4,"Wednesday, November  9, 2011 05:21:23 UTC",39.2412,-123.1728,1.8,6.80,23,"Northern California"
uu,11090442,2,"Wednesday, November  9, 2011 04:42:59 UTC",39.6412,-110.3943,1.6,1.70, 6,"Utah"
nc,71678171,2,"Wednesday, November  9, 2011 04:32:50 UTC",37.6572,-118.8612,1.3,6.40,31,"Long Valley area, California"
uw,11090409,1,"Wednesday, November  9, 2011 04:09:52 UTC",47.3778,-122.8163,1.9,24.80,26,"Puget Sound region, Washington"
ak,10351254,1,"Wednesday, November  9, 2011 03:27:54 UTC",60.6926,-147.8284,2.3,0.80,13,"Southern Alaska"
uu,11090322,2,"Wednesday, November  9, 2011 03:22:20 UTC",39.4207,-111.2280,1.4,8.90, 6,"Utah"
uw,11090321,1,"Wednesday, November  9, 2011 03:21:46 UTC",47.8405,-122.2663,1.7,24.70,23,"Seattle-Tacoma urban area, Washington"
hv,60282336,1,"Wednesday, November  9, 2011 03:17:59 UTC",19.3027,-155.4755,1.7,36.50,36,"Island of Hawaii, Hawaii"
ci,15073852,2,"Wednesday, November  9, 2011 03:14:23 UTC",34.1797,-116.8207,1.9,8.40,83,"Southern California"
ak,10351243,1,"Wednesday, November  9, 2011 03:08:18 UTC",61.2411,-150.4674,2.6,42.90,38,"Southern Alaska"
uu,11090305,2,"Wednesday, November  9, 2011 03:05:59 UTC",39.4447,-111.2353,1.2,4.90, 7,"Utah"
uu,11090259,2,"Wednesday, November  9, 2011 02:58:31 UTC",39.4385,-111.2298,1.6,2.50, 8,"Utah"
us,b0006mau,4,"Wednesday, November  9, 2011 02:35:33 UTC",-23.9970,-66.9424,4.4,200.20,19,"Salta, Argentina"
nc,71678136,2,"Wednesday, November  9, 2011 02:35:30 UTC",38.8450,-122.8273,1.1,2.30,33,"Northern California"
nc,71678131,3,"Wednesday, November  9, 2011 02:34:28 UTC",38.8437,-122.8275,1.6,2.20,72,"Northern California"
uu,11090233,2,"Wednesday, November  9, 2011 02:33:24 UTC",39.4377,-111.2293,1.3,2.50, 8,"Utah"
ak,10351223,1,"Wednesday, November  9, 2011 02:29:51 UTC",60.3998,-152.2692,1.7,97.20,12,"Southern Alaska"
nc,71678121,3,"Wednesday, November  9, 2011 02:15:07 UTC",38.8335,-122.8083,1.7,2.70,80,"Northern California"
nn,00354695,8,"Wednesday, November  9, 2011 02:08:56 UTC",38.2562,-115.9902,2.1,0.00, 4,"Nevada"
nc,71678111,3,"Wednesday, November  9, 2011 01:52:50 UTC",38.8065,-122.8115,1.3,1.60,66,"Northern California"
uu,11090140,2,"Wednesday, November  9, 2011 01:40:48 UTC",39.3913,-111.2277,1.8,10.70, 7,"Utah"
us,b0006mai,4,"Wednesday, November  9, 2011 01:20:44 UTC",37.9135,55.7645,4.2,30.00,18,"northern Iran"
